epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.833902,1.72834,3.41544,1.75701,0.01315,0.5,0.02327,0.00932,1.76784,4.42594,2.01787,0,0,0
2,1.3261,1.56176,3.70342,1.50897,0.02128,0.55556,0.03129,0.01419,1.73891,4.40571,1.98405,9.802e-06,9.802e-06,9.802e-06
3,1.83415,1.77456,3.64153,1.76949,0.02142,0.61111,0.03276,0.01481,1.74935,4.41896,1.99427,1.9208e-05,1.9208e-05,1.9208e-05
4,2.33893,1.57938,3.59803,1.57803,0.05432,0.44444,0.10758,0.05098,1.57017,4.18943,1.65061,2.8218e-05,2.8218e-05,2.8218e-05
5,3.08532,1.5084,3.27569,1.52908,0.05432,0.44444,0.10758,0.05098,1.57017,4.18943,1.65061,3.6832e-05,3.6832e-05,3.6832e-05
6,3.84054,1.45387,3.32738,1.4697,0.16007,0.33157,0.16237,0.0687,1.48636,3.99487,1.51106,4.505e-05,4.505e-05,4.505e-05
7,4.62812,1.38742,2.96612,1.57965,0.16007,0.33157,0.16237,0.0687,1.48636,3.99487,1.51106,5.2872e-05,5.2872e-05,5.2872e-05
8,5.40459,1.42129,3.07133,1.57285,0.59968,0.27778,0.26205,0.16055,1.30063,3.71583,1.43414,6.0298e-05,6.0298e-05,6.0298e-05
9,6.18047,1.13496,2.27149,1.37893,0.59968,0.27778,0.26205,0.16055,1.30063,3.71583,1.43414,6.7328e-05,6.7328e-05,6.7328e-05
10,7.08417,0.99877,2.2748,1.27783,0.42662,0.44444,0.37341,0.23101,1.05746,3.07002,1.23606,7.3962e-05,7.3962e-05,7.3962e-05
11,7.82909,1.05483,2.03769,1.26979,0.42662,0.44444,0.37341,0.23101,1.05746,3.07002,1.23606,8.02e-05,8.02e-05,8.02e-05
12,8.59704,0.95613,1.73884,1.27756,0.42662,0.44444,0.37341,0.23101,1.05746,3.07002,1.23606,8.6042e-05,8.6042e-05,8.6042e-05
13,9.35695,1.19372,2.09856,1.5674,0.9277,0.33333,0.49171,0.38725,0.88906,2.44451,1.22281,9.1488e-05,9.1488e-05,9.1488e-05
